Name,Adult,Episode_Run_Time,Genres,First_Air_Date,Last_Air_Date,Networks,Number_of_Episodes,Number_of_Seasons,Status,Popularity
Mert ile Gert,false,90.0,"[""Aile"", ""Komedi""]",2008-07-18,2009-02-03,"[""TRT 1""]",27.0,1.0,Ended,20.249
Son Ağa,false,80.0,"[""Aile"", ""Komedi""]",2008-07-17,2008-12-18,"[""Star TV""]",23.0,1.0,Ended,7.337
Servet Avcısı,false,0.0,"[""Aile"", ""Komedi""]",2008-07-14,2008-08-18,"[""atv""]",6.0,1.0,Ended,2.87
Akasya Durağı,false,90.0,"[""Komedi"", ""Aile""]",2008-07-14,2011-09-29,"[""Kanal D""]",174.0,5.0,Ended,58.449
Süper Babaanne,false,60.0,"[""Komedi"", ""Aile"", ""Bilim Kurgu & Fantazi""]",2008-07-10,2008-10-30,"[""TRT 1""]",17.0,1.0,Ended,3.734
Derman,false,90.0,"[""Komedi""]",2008-07-05,2008-08-09,"[""Kanal D""]",6.0,1.0,Ended,1.729
Gece Gündüz,false,80.0,"[""Aksiyon & Macera"", ""Suç"", ""Dram""]",2008-07-04,2009-01-16,"[""Kanal D""]",29.0,1.0,Ended,18.234
Prenses Perfinya,false,90.0,"[""Çocuklar"", ""Bilim Kurgu & Fantazi""]",2008-07-03,2009-01-08,"[""FOX""]",28.0,1.0,Ended,4.701
Pulsar,false,90.0,"[""Aile"", ""Çocuklar""]",2008-06-10,2008-09-30,"[""Star TV""]",17.0,1.0,Ended,3.941
Küçük Kadınlar,false,90.0,"[""Dram"", ""Aile""]",2008-06-10,2011-03-05,"[""Kanal D"", ""Star TV""]",120.0,3.0,Ended,9.399
Pepee,false,20.0,"[""Animasyon"", ""Çocuklar"", ""Aile""]",2008-06-06,2015-01-21,"[""Show TV"", ""TRT Çocuk"", ""Planet Çocuk""]",8.0,8.0,Ended,1.891
Yol Arkadaşım,false,90.0,"[""Aile"", ""Dram""]",2008-05-12,2009-04-27,"[""Kanal D"", ""Star TV""]",41.0,2.0,Ended,12.871
Her Halimle Sev Beni,false,60.0,"[""Komedi""]",2008-05-10,2008-05-24,"[""TRT 1""]",3.0,1.0,Ended,1.502
Dur Yolcu,false,0.0,"[""Dram"", ""Savaş & Politik""]",2008-05-01,2008-07-24,"[""TRT 1""]",13.0,1.0,Ended,5.096
Benim Annem Bir Melek,false,90.0,"[""Komedi"", ""Aile""]",2008-03-30,2010-04-12,"[""atv"", ""Star TV""]",64.0,3.0,Ended,22.432
Kollama,false,90.0,"[""Suç"", ""Aksiyon & Macera"", ""Dram""]",2008-02-10,2010-10-01,"[""Samanyolu TV""]",4.0,4.0,Ended,4.522
Çemberin Dışında,false,0.0,String[],2008-01-26,2008-02-02,"[""Star TV""]",2.0,1.0,Ended,3.578
Pars: Narkoterör,false,0.0,"[""Aksiyon & Macera"", ""Gizem"", ""Savaş & Politik"", ""Dram"", ""Suç""]",2008-01-21,2008-06-23,"[""Show TV""]",23.0,1.0,Ended,10.468
Görgüsüzler,false,80.0,"[""Komedi"", ""Aile""]",2008-01-13,2008-02-17,"[""atv""]",6.0,1.0,Ended,1.534
Yaban Gülü,false,90.0,"[""Aile"", ""Dram""]",2008-01-01,2008-04-08,"[""atv""]",15.0,1.0,Ended,13.104
Sinekli Bakkal,false,90.0,"[""Aile"", ""Dram""]",2007-12-27,2008-01-24,"[""atv""]",5.0,1.0,Ended,2.782
Havalimanı,false,90.0,"[""Komedi""]",2007-12-26,2008-01-23,"[""FOX""]",5.0,1.0,Ended,2.562
OKS Anneleri,false,90.0,"[""Aile"", ""Dram""]",2007-12-23,2008-01-27,"[""FOX""]",6.0,1.0,Ended,2.015
Parmaklıklar Ardında,false,90.0,"[""Dram"", ""Suç""]",2007-12-13,2010-06-24,"[""atv""]",106.0,3.0,Ended,24.609
Karayılan,false,90.0,"[""Dram""]",2007-11-19,2008-03-17,"[""atv""]",18.0,1.0,Ended,15.629
Fedai,false,80.0,"[""Dram""]",2007-11-16,2008-01-12,"[""Star TV""]",8.0,1.0,Ended,2.146
Dağlar Delisi,false,0.0,String[],2007-11-10,2007-11-10,String[],1.0,1.0,Ended,0.6
Gönül Salıncağı,false,60.0,"[""Dram""]",2007-11-03,2008-02-09,"[""TRT 1""]",15.0,1.0,Ended,4.791
Asi,false,90.0,"[""Aile"", ""Dram""]",2007-10-26,2009-06-19,"[""Kanal D""]",71.0,2.0,Ended,16.601
Sevgili Dünürüm,false,80.0,"[""Aile"", ""Komedi""]",2007-10-19,2008-03-07,"[""Star TV""]",21.0,1.0,Ended,23.78
Tek Türkiye,false,90.0,"[""Dram""]",2007-10-18,2010-10-07,"[""Samanyolu TV""]",4.0,4.0,Ended,7.634
Eşref Saati,false,80.0,"[""Komedi"", ""Aile""]",2007-10-16,2008-11-24,"[""Show TV""]",39.0,2.0,Ended,6.201
Tatlı Bela Fadime,false,0.0,"[""Aile"", ""Komedi""]",2007-10-11,2007-10-11,"[""Star TV""]",1.0,1.0,Ended,1.725
Arka Sıradakiler,false,110.0,"[""Suç"", ""Dram""]",2007-09-30,2012-06-17,"[""FOX""]",193.0,6.0,Ended,21.112
Oyun Bitti,false,60.0,"[""Aile"", ""Komedi""]",2007-09-21,2007-11-02,"[""Kanal D""]",7.0,1.0,Ended,4.486
Bez Bebek,false,0.0,"[""Çocuklar"", ""Aile"", ""Bilim Kurgu & Fantazi"", ""Komedi""]",2007-09-20,2010-04-02,"[""FOX""]",101.0,3.0,Ended,36.948
Elveda Rumeli,false,90.0,"[""Savaş & Politik"", ""Aile"", ""Dram"", ""Komedi""]",2007-09-20,2009-10-12,"[""atv""]",83.0,3.0,Ended,26.014
Evimin Erkeği,false,0.0,String[],2007-09-15,2007-09-15,"[""TRT 1""]",1.0,1.0,Ended,1.96
Pusat,false,90.0,"[""Dram"", ""Aksiyon & Macera""]",2007-09-14,2007-12-07,"[""Show TV""]",13.0,1.0,Ended,5.472
Fesupanallah,false,80.0,"[""Komedi""]",2007-09-10,2007-10-29,"[""atv""]",8.0,1.0,Ended,4.379
Bıçak Sırtı,false,60.0,"[""Aile"", ""Dram""]",2007-09-10,2008-04-28,"[""Kanal D""]",30.0,1.0,Ended,15.164
Vazgeç Gönlüm,false,90.0,"[""Dram""]",2007-09-07,2008-10-18,"[""Star TV""]",41.0,2.0,Ended,10.145
Menekşe ile Halil,false,100.0,"[""Dram""]",2007-09-07,2008-05-24,"[""Kanal D""]",36.0,1.0,Ended,14.061
Annem,false,90.0,"[""Dram"", ""Aile""]",2007-09-06,2010-03-19,"[""Kanal D""]",64.0,2.0,Ended,5.987
Oğlum İçin,false,90.0,"[""Aile"", ""Dram""]",2007-09-04,2007-11-06,"[""Show TV""]",10.0,1.0,Ended,6.478
Dudaktan Kalbe,false,90.0,"[""Dram""]",2007-09-03,2009-05-26,"[""Show TV""]",75.0,2.0,Ended,11.31
Zeliha'nın Gözleri,false,90.0,"[""Dram"", ""Suç"", ""Bilim Kurgu & Fantazi""]",2007-07-30,2007-09-24,"[""Star TV""]",9.0,1.0,Ended,7.989
Senden Başka,false,90.0,"[""Komedi"", ""Dram""]",2007-07-18,2007-11-21,"[""atv""]",19.0,1.0,Ended,4.607
Hayal ve Gerçek,false,0.0,String[],2007-07-07,2007-09-01,"[""atv""]",9.0,1.0,Ended,2.122
Zoraki Koca,false,90.0,"[""Komedi""]",2007-07-02,2007-12-24,"[""Kanal D""]",26.0,1.0,Ended,4.587
Hayat Apartmanı,false,60.0,"[""Komedi""]",2007-06-02,2007-06-30,"[""Show TV""]",5.0,1.0,Ended,2.46
Kavak Yelleri,false,100.0,"[""Komedi"", ""Dram"", ""Aile""]",2007-05-31,2011-08-30,"[""Kanal D""]",170.0,5.0,Ended,34.931
Hepsi 1,false,86.0,"[""Komedi"", ""Dram""]",2007-05-13,2008-05-25,"[""atv"", ""Show TV""]",51.0,2.0,Ended,20.98
Kurtlar Vadisi: Pusu,false,120.0,"[""Dram"", ""Savaş & Politik"", ""Aksiyon & Macera""]",2007-04-19,2016-06-16,"[""Kanal D"", ""atv"", ""Show TV"", ""Star TV""]",300.0,10.0,Ended,121.283
Baba Oluyorum,false,0.0,"[""Aile"", ""Komedi""]",2007-04-08,2007-05-13,"[""TRT 1""]",6.0,1.0,Ended,1.786
İki Yabancı,false,90.0,"[""Dram""]",2007-04-04,2007-07-03,"[""atv""]",13.0,1.0,Ended,9.19
Yersiz Yurtsuz,false,90.0,"[""Aile"", ""Dram""]",2007-03-29,2007-06-28,String[],18.0,1.0,Ended,6.202
Elveda Derken,false,95.0,"[""Dram"", ""Aile"", ""Belgesel""]",2007-03-21,2008-06-17,"[""Kanal D""]",51.0,2.0,Ended,15.069
Hayat Kavgam,false,0.0,"[""Komedi"", ""Aile""]",2007-03-19,2007-03-19,"[""Show TV""]",1.0,1.0,Ended,1.651
Kader,false,0.0,"[""Aile"", ""Dram""]",2007-03-15,2007-06-07,"[""Star TV""]",13.0,1.0,Ended,7.44
Ayrılık,false,0.0,"[""Aile"", ""Dram"", ""Savaş & Politik""]",2007-03-15,2007-04-19,"[""Show TV""]",6.0,1.0,Ended,5.229
Kara Duvak,false,0.0,String[],2007-03-14,2007-06-06,String[],13.0,1.0,Ended,6.728
Affedilmeyen,false,0.0,String[],2007-03-08,2007-03-22,"[""atv""]",3.0,1.0,Ended,6.195
Dicle,false,90.0,"[""Aile"", ""Dram""]",2007-03-08,2007-04-05,"[""atv""]",5.0,1.0,Ended,3.983
Yaralı Yürek,false,90.0,"[""Dram""]",2007-02-10,2007-05-26,"[""Show TV""]",16.0,1.0,Ended,14.575
Kurtlar Vadisi: Terör,false,0.0,"[""Savaş & Politik"", ""Suç"", ""Gerçeklik"", ""Dram""]",2007-02-08,2007-10-18,"[""Show TV""]",2.0,1.0,Ended,4.257
Şöhret Okulu,false,90.0,"[""Dram"", ""Komedi""]",2007-01-25,2007-02-15,"[""atv""]",4.0,1.0,Ended,2.311
Geniş Zamanlar,false,80.0,"[""Aile"", ""Dram""]",2007-01-09,2007-06-05,"[""Star TV""]",22.0,1.0,Ended,11.373
Yeni Evli,false,35.0,"[""Aile"", ""Komedi""]",2007-01-01,2007-01-01,"[""TRT 1""]",1.0,1.0,Ended,1.217
Nazlı Yarim,false,80.0,"[""Aile"", ""Komedi""]",2007-01-01,2007-01-01,"[""Show TV""]",6.0,1.0,Ended,3.673
Dede Korkut,false,0.0,String[],2007-01-01,2007-02-05,String[],6.0,1.0,Ended,7.473
Başımın Belası,false,0.0,String[],2007-01-01,2007-01-01,String[],1.0,1.0,Ended,0.679
Doktorlar,false,70.0,"[""Dram""]",2006-12-28,2011-02-04,"[""Show TV""]",97.0,4.0,Ended,24.803
Yeşeren Düşler,false,0.0,"[""Dram""]",2006-12-10,2007-10-16,"[""Samanyolu TV""]",2.0,2.0,Ended,1.805
Rüya Gibi,false,0.0,"[""Dram"", ""Aile""]",2006-12-07,2006-12-28,"[""Show TV""]",4.0,1.0,Ended,10.333
Kınalı Kuzular,false,0.0,String[],2006-11-28,2006-11-28,"[""TRT 1""]",1.0,1.0,Ended,0.6
Binbir Gece,false,90.0,"[""Dram""]",2006-11-07,2009-05-12,"[""Kanal D""]",90.0,3.0,Ended,38.403
Karınca Yuvası,false,90.0,"[""Aile"", ""Çocuklar"", ""Komedi"", ""Dram""]",2006-11-06,2007-01-08,"[""Kanal D""]",10.0,1.0,Ended,8.62
Hatırla Sevgili,false,90.0,"[""Dram"", ""Savaş & Politik"", ""Aile""]",2006-10-27,2008-05-23,"[""atv""]",68.0,2.0,Ended,38.476
Tarık ve Diğerleri,false,0.0,"[""Komedi"", ""Aile"", ""Aksiyon & Macera""]",2006-10-08,2007-04-29,"[""Samanyolu TV""]",30.0,1.0,Ended,4.319
Aynı Çatı Altında,false,60.0,"[""Komedi""]",2006-09-27,2006-11-15,"[""TGRT""]",8.0,1.0,Ended,2.378
Deli Dolu,false,60.0,"[""Komedi"", ""Aile""]",2006-09-26,2006-11-28,"[""TGRT""]",10.0,1.0,Ended,9.292
Yağmurdan Sonra,false,90.0,"[""Aile"", ""Dram"", ""Gizem""]",2006-09-21,2007-06-14,"[""Samanyolu TV""]",39.0,1.0,Ended,3.537
Ahh İstanbul,false,90.0,"[""Aile"", ""Dram""]",2006-09-21,2006-11-30,"[""atv""]",11.0,1.0,Ended,16.446
Sağır Oda,false,60.0,"[""Savaş & Politik"", ""Aksiyon & Macera""]",2006-09-18,2007-05-07,"[""Kanal D""]",34.0,1.0,Ended,14.424
Sıla,false,90.0,"[""Aile"", ""Dram""]",2006-09-15,2008-09-19,"[""atv""]",79.0,3.0,Ended,27.191
Gülpare,false,90.0,"[""Dram""]",2006-09-13,2006-11-22,"[""Show TV""]",11.0,1.0,Ended,7.468
Yaprak Dökümü,false,85.0,"[""Dram""]",2006-09-13,2010-12-29,"[""Kanal D""]",174.0,5.0,Ended,59.129
Selena,false,96.0,"[""Çocuklar"", ""Aile"", ""Komedi"", ""Bilim Kurgu & Fantazi""]",2006-09-10,2010-02-07,"[""atv""]",105.0,3.0,Ended,18.671
Candan Öte,false,80.0,"[""Dram"", ""Aile""]",2006-09-05,2007-02-13,"[""Star TV""]",24.0,1.0,Ended,7.869
Kod Adı,false,0.0,"[""Suç"", ""Dram"", ""Savaş & Politik""]",2006-09-04,2006-11-06,"[""Kanal D""]",10.0,1.0,Ended,4.278
Ah Polis Olsam,false,75.0,"[""Komedi"", ""Suç"", ""Aksiyon & Macera""]",2006-08-10,2006-10-05,"[""Kanal D""]",9.0,1.0,Ended,4.995
Fırtına,false,80.0,"[""Komedi"", ""Aile""]",2006-07-22,2006-07-22,"[""Kanal D""]",48.0,1.0,Ended,18.894
Yalancı Yarim,false,80.0,"[""Komedi""]",2006-07-21,2006-07-21,"[""Star TV""]",49.0,1.0,Ended,5.033
Tutkunum Sana,false,0.0,String[],2006-07-13,2006-08-03,"[""Show TV""]",4.0,1.0,Ended,6.639
Acemi Cadı,false,60.0,"[""Aile"", ""Komedi"", ""Bilim Kurgu & Fantazi""]",2006-07-07,2008-01-18,"[""Kanal D"", ""Star TV""]",58.0,2.0,Ended,8.583
Sahte Prenses,false,90.0,"[""Komedi""]",2006-06-28,2006-10-25,"[""Show TV""]",18.0,1.0,Ended,8.646
İki Aile,false,90.0,"[""Aile"", ""Komedi""]",2006-06-19,2008-06-09,"[""Star TV""]",93.0,2.0,Ended,10.533
29-30,false,0.0,"[""Komedi"", ""Dram""]",2006-04-23,2006-06-11,"[""Show TV""]",8.0,1.0,Ended,4.777
Kaybolan Yıllar,false,75.0,"[""Dram"", ""Aksiyon & Macera"", ""Suç""]",2006-04-15,2007-06-21,"[""Star TV""]",49.0,2.0,Ended,13.96
Azap Yolu,false,0.0,"[""Aile"", ""Dram""]",2006-03-30,2006-07-06,"[""atv""]",15.0,1.0,Ended,1.4
Cemile,false,90.0,String[],2006-03-29,2006-04-19,"[""Show TV""]",4.0,1.0,Ended,5.4
Hacı,false,80.0,"[""Savaş & Politik"", ""Dram"", ""Suç""]",2006-03-23,2006-06-29,"[""Show TV""]",15.0,1.0,Ended,4.516
Kuş Dili,false,80.0,"[""Dram"", ""Aile""]",2006-03-11,2006-05-27,"[""atv""]",12.0,1.0,Ended,9.329
Anadolu Kaplanı,false,90.0,"[""Komedi"", ""Aile""]",2006-03-02,2006-04-20,"[""Kanal D""]",8.0,1.0,Ended,6.023
Kızlar Yurdu,false,60.0,"[""Komedi"", ""Dram""]",2006-02-19,2006-08-27,"[""Show TV""]",22.0,1.0,Ended,10.669
Hisarbuselik,false,60.0,"[""Dram""]",2006-02-15,2006-05-10,"[""TRT 1""]",13.0,1.0,Ended,3.2
Gönül,false,60.0,"[""Komedi"", ""Dram"", ""Aile""]",2006-02-13,2006-03-27,"[""Kanal D""]",7.0,1.0,Ended,3.265
Hayat Türküsü,false,71.0,"[""Dram""]",2006-01-21,2007-06-16,"[""TRT 1""]",60.0,2.0,Ended,10.538
Kırık Kanatlar,false,80.0,"[""Dram"", ""Savaş & Politik""]",2006-01-19,2006-12-27,"[""Kanal D""]",36.0,2.0,Ended,24.256
Daha Neler,false,0.0,"[""Komedi""]",2006-01-01,2006-01-01,"[""Show TV""]",1.0,1.0,Ended,1.541
AB'nin Yolları Taştan,false,0.0,"[""Komedi""]",2006-01-01,2006-01-01,"[""Star TV""]",1.0,1.0,Ended,0.979
Ezo Gelin,false,90.0,"[""Dram""]",2006-01-01,2006-07-23,"[""Show TV""]",59.0,2.0,Ended,11.241
Pertev Bey'in Üç Kızı,false,60.0,"[""Dram"", ""Aile""]",2006-01-01,2006-02-05,"[""TRT 1""]",6.0,1.0,Ended,1.4
İyi ki Varsın,false,0.0,String[],2006-01-01,2006-01-01,String[],1.0,1.0,Ended,2.464
Acı Hayat,false,90.0,"[""Aksiyon & Macera"", ""Dram""]",2005-12-14,2007-06-25,"[""Show TV""]",59.0,2.0,Ended,19.66
Ödünç Hayat,false,60.0,"[""Dram"", ""Aile""]",2005-12-06,2005-12-27,"[""Kanal D""]",4.0,1.0,Ended,7.66
Zeynep,false,60.0,"[""Dram"", ""Aile""]",2005-11-18,2006-06-02,"[""Kanal 7""]",29.0,1.0,Ended,3.959
Yine de Aşığım,false,50.0,"[""Komedi""]",2005-10-28,2006-01-13,"[""atv"", ""Kanal D""]",12.0,1.0,Ended,8.444
Hırsız-Polis,false,90.0,"[""Suç"", ""Dram""]",2005-10-26,2007-03-15,"[""Kanal D""]",50.0,2.0,Ended,14.653
Nefes Nefese,false,80.0,"[""Dram""]",2005-10-16,2005-12-11,"[""atv""]",9.0,1.0,Ended,1.4
Alanya-Almanya,false,60.0,"[""Aile"", ""Komedi""]",2005-10-13,2005-10-13,"[""Star TV""]",1.0,1.0,Ended,1.879
Ters Köşe,false,45.0,"[""Komedi""]",2005-09-28,2005-09-28,"[""TRT 1""]",1.0,1.0,Ended,0.899
Ihlamurlar Altında,false,100.0,"[""Dram""]",2005-09-23,2008-02-08,"[""Kanal D""]",150.0,2.0,Ended,32.87
Beyaz Gelincik,false,90.0,"[""Aile"", ""Dram""]",2005-09-19,2007-06-11,"[""atv""]",74.0,2.0,Ended,13.851
Maki,false,0.0,"[""Dram"", ""Aile""]",2005-09-15,2005-09-22,"[""Show TV""]",2.0,1.0,Ended,0.928
Düşler ve Gerçekler,false,60.0,"[""Dram"", ""Aile""]",2005-09-13,2005-10-11,"[""Kanal D""]",5.0,1.0,Ended,3.646
Beşinci Boyut,false,80.0,"[""Dram"", ""Bilim Kurgu & Fantazi""]",2005-09-12,2009-10-19,"[""Samanyolu TV""]",140.0,5.0,Ended,3.401
Belalı Baldız,false,60.0,"[""Aile"", ""Komedi""]",2005-09-11,2006-04-30,"[""atv""]",34.0,1.0,Ended,13.018
Kapıları Açmak,false,0.0,String[],2005-08-22,2005-08-22,"[""Kanal D""]",1.0,1.0,Ended,2.06
Sessiz Gece,false,0.0,"[""Dram""]",2005-08-03,2005-08-24,"[""Show TV""]",4.0,1.0,Ended,3.639
Tadımız Kaçmasın,false,60.0,"[""Komedi"", ""Aile""]",2005-07-08,2005-09-30,"[""Kanal D""]",13.0,1.0,Ended,3.263
Aşk Oyunu,false,60.0,"[""Dram""]",2005-06-28,2006-05-16,"[""atv"", ""Kanal D""]",47.0,1.0,Ended,12.193
Aşk Her Yaşta,false,80.0,"[""Aile"", ""Komedi"", ""Dram""]",2005-06-27,2005-09-12,"[""Kanal D""]",12.0,1.0,Ended,5.046
Emret Komutanım,false,90.0,"[""Dram"", ""Komedi""]",2005-06-23,2005-06-23,"[""Show TV""]",69.0,4.0,Ended,14.255
Kanlı Düğün,false,80.0,"[""Aile"", ""Dram""]",2005-05-15,2005-06-19,"[""Show TV""]",6.0,1.0,Ended,2.072
Seni Çok Özledim,false,60.0,"[""Dram""]",2005-04-07,2005-05-19,"[""Kanal D""]",7.0,1.0,Ended,9.108
Yanık Koza,false,45.0,"[""Dram"", ""Aile""]",2005-04-06,2007-02-21,"[""Show TV""]",18.0,3.0,Ended,13.354
Kezban Yenge,false,60.0,"[""Komedi"", ""Aile""]",2005-03-28,2006-06-28,"[""Kanal 7""]",46.0,2.0,Ended,6.832
Aşka Sürgün,false,90.0,"[""Aile"", ""Dram""]",2005-03-07,2006-06-05,"[""atv""]",53.0,2.0,Ended,11.801
Eylül,false,0.0,"[""Dram""]",2005-02-14,2005-03-14,"[""atv""]",5.0,1.0,Ended,4.765
Kaynana Semira,false,0.0,"[""Aile"", ""Komedi""]",2005-02-07,2005-03-14,"[""TGRT""]",6.0,1.0,Ended,0.633
Dikkat Şahan Çıkabilir,false,0.0,String[],2005-02-05,2005-09-17,"[""atv"", ""TV8""]",2.0,2.0,Ended,0.868
Pembe ve Mavi,false,25.0,"[""Animasyon"", ""Komedi""]",2005-02-05,2005-04-02,String[],9.0,1.0,Ended,1.741
Seher Vakti,false,80.0,"[""Aile"", ""Dram""]",2005-01-31,2005-03-21,"[""Kanal D""]",8.0,1.0,Ended,10.31
Sensiz Olmuyor,false,60.0,"[""Komedi""]",2005-01-26,2005-07-20,"[""Kanal D"", ""Show TV""]",26.0,1.0,Ended,6.278
Gümüş,false,45.0,"[""Dram"", ""Aile""]",2005-01-20,2007-05-26,"[""Kanal D""]",100.0,3.0,Ended,13.62
Zeytin Dalı,false,72.0,"[""Dram""]",2005-01-11,2005-07-12,"[""TRT 1""]",27.0,1.0,Ended,3.805
Savcının Karısı,false,60.0,"[""Suç"", ""Dram""]",2005-01-07,2005-07-01,"[""atv""]",26.0,1.0,Ended,7.108
Kadın Her Zaman Haklıdır,false,30.0,"[""Komedi""]",2005-01-01,2005-04-30,"[""TV8""]",18.0,1.0,Ended,2.06
Çapkın,false,75.0,"[""Komedi""]",2005-01-01,2005-04-23,"[""Show TV""]",17.0,1.0,Ended,13.334
Yağmur Zamanı,false,90.0,"[""Dram""]",2004-12-15,2005-06-22,"[""Show TV""]",57.0,2.0,Ended,7.013
Kadın İsterse,false,90.0,"[""Komedi"", ""Aile""]",2004-12-14,2006-06-13,"[""Star TV"", ""Show TV""]",52.0,2.0,Ended,14.43
Çınaraltı,false,0.0,"[""Dram"", ""Komedi""]",2004-11-21,2005-02-13,"[""TRT 1""]",13.0,1.0,Ended,4.444
Mavi Rüya,false,60.0,"[""Aile"", ""Dram"", ""Suç""]",2004-11-17,2006-06-21,"[""Samanyolu TV""]",71.0,2.0,Ended,1.516
Yabancı Damat,false,80.0,"[""Aile"", ""Komedi"", ""Dram""]",2004-11-12,2007-06-15,"[""Kanal D""]",106.0,3.0,Ended,28.13
Ağa Kızı,false,60.0,"[""Aile"", ""Komedi""]",2004-10-26,2005-02-08,"[""Kanal D""]",16.0,1.0,Ended,3.725
Sahra,false,70.0,"[""Aile"", ""Dram""]",2004-10-06,2004-10-06,String[],1.0,1.0,Ended,1.842
Sular Durulmuyor,false,0.0,String[],2004-10-05,2004-10-05,"[""TRT 1""]",1.0,1.0,Ended,1.71
Büyük Buluşma,false,90.0,"[""Dram"", ""Bilim Kurgu & Fantazi""]",2004-10-04,2007-09-19,"[""Samanyolu TV""]",4.0,4.0,Ended,1.877
Sayın Bakanım,false,60.0,"[""Komedi"", ""Savaş & Politik""]",2004-10-01,2004-12-22,"[""atv""]",14.0,1.0,Ended,12.703
Şubat Soğuğu,false,90.0,"[""Dram"", ""Suç""]",2004-09-21,2006-06-30,"[""Samanyolu TV""]",78.0,2.0,Ended,3.516
Aliye,false,60.0,"[""Aile"", ""Dram""]",2004-09-14,2006-10-17,"[""atv""]",76.0,3.0,Ended,14.906
Haziran Gecesi,false,90.0,"[""Aile"", ""Dram""]",2004-09-13,2006-02-13,"[""Kanal D""]",62.0,2.0,Ended,38.844
İstanbul Şahidimdir,false,0.0,"[""Dram""]",2004-09-10,2004-09-10,"[""atv""]",1.0,1.0,Ended,1.377
Dayı,false,0.0,String[],2004-09-07,2004-11-02,"[""Kanal D""]",9.0,1.0,Ended,8.849
Çemberimde Gül Oya,false,75.0,"[""Dram""]",2004-09-03,2005-07-01,"[""Kanal D""]",40.0,1.0,Ended,17.017
Bir Dilim Aşk,false,60.0,"[""Komedi""]",2004-08-27,2004-12-24,"[""Kanal D""]",18.0,1.0,Ended,6.095
Uy Başuma Gelenler,false,0.0,String[],2004-07-05,2004-07-05,String[],1.0,1.0,Ended,1.687
Adı Aşk Olsun,false,0.0,String[],2004-07-05,2004-07-26,String[],4.0,1.0,Ended,1.4
Müjgan Bey,false,0.0,"[""Komedi""]",2004-06-25,2004-09-17,"[""Show TV""]",13.0,1.0,Ended,7.077
Gece Yürüyüşü,false,0.0,String[],2004-06-19,2004-06-19,String[],1.0,1.0,Ended,0.841
Cennet Mahallesi,false,80.0,"[""Komedi"", ""Aile""]",2004-05-30,2007-06-09,"[""Show TV""]",119.0,3.0,Ended,29.44
Zümrüt,false,0.0,String[],2004-05-07,2004-06-11,"[""Kanal D""]",6.0,1.0,Ended,5.207
Bütün çocuklarim,false,80.0,"[""Aile"", ""Dram""]",2004-04-22,2005-02-24,"[""Kanal D""]",45.0,1.0,Ended,11.496
Sırlar Dünyası,false,0.0,String[],2004-04-13,2010-08-10,"[""Samanyolu TV""]",5.0,5.0,Ended,1.013
Dişi Kuş,false,60.0,"[""Aile"", ""Komedi""]",2004-03-23,2004-03-23,"[""atv""]",1.0,1.0,Ended,3.028
Melekler Adası,false,60.0,"[""Dram""]",2004-02-17,2005-11-17,String[],76.0,3.0,Ended,15.42
Avrupa Yakası,false,90.0,"[""Aile"", ""Komedi""]",2004-02-11,2009-06-24,"[""atv""]",192.0,6.0,Ended,67.723
Size Baba Diyebilir miyim?,false,75.0,"[""Komedi"", ""Aile""]",2004-01-14,2004-04-07,"[""Kanal D""]",13.0,1.0,Ended,6.909
Şeytan Ayrıntıda Gizlidir,false,60.0,"[""Suç"", ""Gizem""]",2004-01-13,2004-04-06,"[""TRT 1""]",13.0,1.0,Ended,10.003
Kasabanın İncisi,false,75.0,"[""Dram""]",2004-01-06,2004-02-24,"[""TRT 1""]",8.0,1.0,Ended,4.458
Yusuf Yüzlü,false,60.0,"[""Dram"", ""Aile""]",2004-01-01,2004-09-23,"[""Samanyolu TV""]",39.0,1.0,Ended,5.503
Tatil Aşkları,false,60.0,"[""Komedi""]",2004-01-01,2004-03-25,"[""Star TV""]",13.0,1.0,Ended,8.151
Aşkımızda Ölüm Var,false,0.0,String[],2004-01-01,2004-01-01,"[""Show TV""]",1.0,1.0,Ended,3.149
Ah be İstanbul,false,0.0,String[],2004-01-01,2004-01-01,String[],1.0,1.0,Ended,1.186
En İyi Arkadaşım,false,60.0,"[""Çocuklar"", ""Bilim Kurgu & Fantazi"", ""Komedi""]",2003-11-18,2006-08-27,"[""Show TV""]",57.0,2.0,Ended,13.406
Alacakaranlık,false,60.0,String[],2003-10-22,2005-03-28,String[],37.0,2.0,Ended,24.009
Kampüsistan,false,60.0,"[""Komedi"", ""Dram""]",2003-10-06,2004-08-02,"[""Kanal D""]",44.0,1.0,Ended,31.857
Gurbet Kadını,false,60.0,"[""Dram"", ""Aile""]",2003-10-01,2004-09-01,"[""Show TV""]",2.0,2.0,Ended,1.891
Ölümsüz Aşk,false,60.0,"[""Aile"", ""Dram"", ""Komedi""]",2003-09-23,2003-12-09,"[""atv""]",12.0,1.0,Ended,10.917
Bir İstanbul Masalı,false,75.0,"[""Dram""]",2003-09-18,2005-06-14,"[""atv""]",71.0,2.0,Ended,30.015
Kurşun Yarası,false,60.0,"[""Dram""]",2003-09-15,2005-01-31,"[""atv""]",60.0,2.0,Ended,18.507
Sultan Makamı,false,70.0,"[""Dram""]",2003-09-04,2004-02-26,"[""Kanal D""]",26.0,1.0,Ended,16.567
