Name,Adult,Episode_Run_Time,Genres,First_Air_Date,Last_Air_Date,Networks,Number_of_Episodes,Number_of_Seasons,Status,Popularity
Baskül Ailesi,false,45.0,"[""Aile"", ""Komedi""]",1997-02-01,1997-05-17,"[""Kanal D"", ""Star TV""]",16.0,1.0,Ended,5.702
İlşkiler,false,45.0,"[""Aile"", ""Dram""]",1997-01-01,1997-01-01,"[""atv""]",1.0,1.0,Ended,4.694
Gülüm,false,0.0,"[""Dram""]",1997-01-01,1997-01-01,"[""Star TV""]",1.0,1.0,Ended,1.34
İlk Aşk,false,0.0,String[],1997-01-01,1997-01-01,"[""Kanal D""]",1.0,1.0,Ended,0.6
Tatlı Kaçıklar,false,40.0,"[""Komedi""]",1996-11-06,2001-06-15,"[""atv""]",165.0,5.0,Ended,24.591
Gözlerinde Son Gece,false,90.0,String[],1996-10-16,1997-01-15,"[""Star TV""]",13.0,1.0,Ended,9.588
Çılgın Bediş,false,45.0,"[""Komedi""]",1996-09-07,2001-03-03,"[""Kanal D"", ""Show TV""]",70.0,4.0,Ended,8.905
Gurbetçiler,false,50.0,"[""Aile"", ""Komedi""]",1996-09-01,1996-09-01,"[""atv""]",1.0,4.0,Ended,2.596
Fırtınalar,false,40.0,"[""Aile"", ""Dram""]",1996-04-10,1996-04-10,"[""Star TV""]",1.0,2.0,Ended,1.125
Bizim Aile,false,45.0,"[""Komedi"", ""Aile""]",1996-01-01,1996-07-22,"[""Kanal D""]",30.0,1.0,Ended,8.429
Tersine Akan Nehir,false,40.0,"[""Dram""]",1996-01-01,1996-03-25,"[""TRT 1""]",13.0,1.0,Ended,5.786
Feride,false,90.0,"[""Dram"", ""Aile""]",1996-01-01,1996-04-08,"[""Star TV""]",15.0,1.0,Ended,8.505
Sevda Kondu,false,45.0,"[""Aile"", ""Dram""]",1996-01-01,1996-04-08,"[""Kanal 6""]",15.0,1.0,Ended,9.38
Şaşıfelek Çıkmazı,false,50.0,"[""Dram"", ""Komedi"", ""Aile""]",1996-01-01,2001-06-25,"[""TRT 1""]",63.0,4.0,Ended,58.713
Reyting Hamdi,false,0.0,String[],1995-10-01,1995-10-01,String[],1.0,1.0,Ended,0.952
Çiçek Taksi,false,45.0,"[""Komedi"", ""Aile""]",1995-09-27,1998-09-02,"[""atv"", ""TRT 1""]",198.0,7.0,Ended,18.873
Evdekiler,false,30.0,"[""Aile"", ""Komedi""]",1995-06-15,1996-12-13,"[""Star TV""]",8.0,1.0,Ended,1.063
Bir Demet Tiyatro,false,60.0,"[""Komedi"", ""Aile"", ""Talk""]",1995-01-14,2006-11-28,"[""Star TV""]",30.0,8.0,Ended,13.289
Kaygısızlar,false,40.0,"[""Komedi"", ""Aile""]",1994-10-18,1998-06-08,"[""Kanal D"", ""Star TV"", ""Kanal 6"", ""BluTV""]",125.0,4.0,Ended,22.132
Şehnaz Tango,false,60.0,"[""Aile"", ""Komedi"", ""Dram""]",1994-10-03,1994-10-03,"[""Show TV"", ""Star TV""]",1.0,4.0,Ended,2.754
Bay Kamber,false,0.0,"[""Komedi""]",1994-06-11,1994-08-20,"[""Star TV""]",11.0,1.0,Ended,2.998
12 Mart: İhtilalin Pençesinde Demokrasi,false,0.0,"[""Belgesel""]",1994-04-03,1994-06-12,"[""Show TV""]",10.0,1.0,Ended,0.6
Kurtuluş,false,390.0,"[""Belgesel"", ""Savaş & Politik""]",1994-03-22,1994-04-26,String[],6.0,1.0,Ended,4.691
Gülşen Abi,false,30.0,"[""Komedi""]",1994-01-01,1995-03-11,"[""TRT 1""]",115.0,3.0,Ended,17.625
Süper Baba,false,45.0,"[""Aile"", ""Komedi"", ""Dram""]",1993-09-25,1996-11-01,"[""atv""]",78.0,4.0,Ended,19.191
Yasemince,false,45.0,"[""Komedi""]",1993-09-10,2010-06-18,"[""Show TV"", ""atv"", ""Kanal D"", ""Star TV"", ""FOX""]",281.0,11.0,Ended,32.868
Yazlıkçılar,false,0.0,"[""Komedi"", ""Aile""]",1993-08-01,1998-10-04,"[""Star TV"", ""TRT 1""]",40.0,6.0,Ended,8.929
Gerçek Kesit,false,60.0,"[""Aksiyon & Macera"", ""Dram"", ""Bilim Kurgu & Fantazi"", ""Komedi"", ""Suç""]",1993-07-01,1993-07-01,"[""Flash TV""]",1.0,1.0,Ended,1.462
Ferhunde Hanım ve Kızları,false,45.0,"[""Aile"", ""Komedi""]",1993-04-12,1994-09-05,"[""Star TV"", ""TRT 1""]",21.0,7.0,Ended,9.875
Tatlı Betüş,false,0.0,"[""Komedi"", ""Dram""]",1993-04-03,1993-05-29,"[""Show TV""]",8.0,1.0,Ended,2.464
Yaz Evi,false,0.0,"[""Dram""]",1993-01-04,1993-02-01,"[""TRT 1""]",5.0,3.0,Ended,4.724
Şaban Askerde,false,0.0,"[""Komedi""]",1993-01-02,1993-04-09,"[""Star TV""]",28.0,1.0,Ended,4.133
Yukarıkarakısık,false,20.0,"[""Dram""]",1993-01-01,1993-03-19,"[""TRT 1""]",12.0,1.0,Ended,4.937
Tanrı Misafiri,false,45.0,"[""Dram""]",1993-01-01,1993-01-01,"[""Show TV""]",1.0,1.0,Ended,0.628
Son Söz Sevginin,false,0.0,"[""Dram"", ""Pembe Dizi""]",1993-01-01,1993-01-01,"[""atv""]",1.0,1.0,Ended,1.648
Zirvedekiler,false,0.0,"[""Dram"", ""Aile""]",1993-01-01,1993-01-01,String[],1.0,1.0,Ended,1.4
Mahallenin Muhtarları,false,50.0,"[""Aile"", ""Komedi""]",1992-10-05,2001-10-01,"[""atv"", ""Kanal D"", ""Star TV"", ""Kanal 6""]",10.0,10.0,Ended,14.767
Saygılar Bizden,false,0.0,"[""Komedi"", ""Dram""]",1992-09-19,1992-12-12,"[""Star TV""]",13.0,1.0,Ended,8.056
Fatih-Harbiye,false,52.0,"[""Dram""]",1992-03-05,1992-03-26,"[""TRT 1""]",4.0,1.0,Ended,8.232
Kızlar Yurdu,false,45.0,"[""Komedi"", ""Dram""]",1992-02-01,1992-07-25,"[""Star TV""]",26.0,1.0,Ended,3.982
Kopuk Dünyalar,false,0.0,String[],1992-01-02,1992-01-02,"[""TRT 1""]",1.0,1.0,Ended,0.6
Demirkırat: Bir Demokrasinin Doğuşu,false,52.0,"[""Belgesel""]",1991-05-14,1991-07-23,"[""TRT 1""]",10.0,1.0,Ended,1.126
Ana,false,0.0,"[""Komedi"", ""Dram""]",1991-01-01,1991-07-23,"[""Star TV""]",30.0,1.0,Ended,9.868
Başka Olur Ağaların Düğünü,false,0.0,String[],1990-01-01,1990-01-29,"[""TRT 1""]",5.0,1.0,Ended,5.781
Cahide,false,0.0,"[""Aile"", ""Dram""]",1989-11-06,1989-12-04,String[],5.0,1.0,Ended,1.98
Samanyolu,false,50.0,"[""Dram""]",1989-05-31,1989-06-21,"[""TRT 1""]",4.0,1.0,Ended,7.531
Bizimkiler,false,60.0,"[""Aile"", ""Komedi""]",1989-01-07,2002-10-27,"[""Show TV"", ""Star TV"", ""TRT 1""]",459.0,15.0,Ended,62.001
Türkmen Düğünü,false,45.0,"[""Dram""]",1989-01-01,1989-01-15,"[""TRT 1""]",3.0,1.0,Ended,2.948
Hisseli Harikalar Kumpanyası,false,0.0,"[""Komedi""]",1989-01-01,1989-01-22,"[""TRT 1""]",4.0,1.0,Ended,5.58
Hanımın Çiftliği,false,60.0,"[""Aile"", ""Dram""]",1989-01-01,1989-02-19,String[],8.0,1.0,Ended,4.894
Gençler,false,30.0,"[""Komedi""]",1989-01-01,1989-06-04,"[""TRT 1""]",23.0,1.0,Ended,6.927
İz Peşinde,false,0.0,String[],1989-01-01,1989-01-01,"[""TRT 1""]",1.0,1.0,Ended,0.6
Keşanlı Ali Destanı,false,30.0,String[],1988-10-01,1988-10-15,"[""TRT 1""]",3.0,1.0,Ended,3.672
Uğurlugiller,false,0.0,"[""Aile"", ""Komedi"", ""Dram""]",1988-06-26,1990-08-29,"[""TRT 1""]",68.0,2.0,Ended,10.003
